genome_id,NCBI_genus,NCBI_species,accession_numbers_all,BioSample,completeness,topology_longest_contig,contigger_used,number_of_replicons_contigs,number_of_plasmids,number_of_extrachromosomal,longest_contig_length (bp),total_assembly_length (bp),nanopore_coverage,1034_N50 (bp),1034_total_read_length (bp,illumina_read_pairs,polypolish_depth_of_zero (bp),longest_contig_total_genes,longest_contig_CDS_w_protein,rRNAs_longest_contig,tRNAs_longest_contig,GC_percent_genome (%),complete_BUSCOs_act_class,complete_single_copy_BUSCOs_act_class,complete_duplicated_BUSCOs_act_class,fragmented_BUSCOs_act_class,missing_BUSCOs_act_class,total_BUSCOs_searched_act_class,TIR_length_complete_Streptomyces (bp),filtlong keep-percent,genus_gtdb,species_gtdb,MASH_species,assigned_species,Assembly,Level,WGS,Chrs,Strain,Taxonomy,source
NBC_00002,Streptomyces,canus,CP108321,SAMN24016138,chromosome,linear,flye-contigger NBC_00002,1,0,0,11315041,11315041,33x,16889,381254844,2141462,218,10328,9885,"6, 6, 6 (5S, 16S, 23S)",76,70.09,355,352,3,1,0,356,36438.0,,Streptomyces,Streptomyces canus,,Streptomyces canus,,,,,,,custom
NBC_00003,Streptomyces,sp.,"CP108318,CP108319,CP108320",SAMN24016139,chromosome,linear,flye-contigger NBC_00003,3,0,2,8698839,8708067,14x,6739,142022370,6341837,9410,7950,7600,"8, 8, 8 (5S, 16S, 23S)",71,70.51,353,349,4,2,1,356,,,Streptomyces,Streptomyces sp.,sp_mash_167,Streptomyces sp. (sp_mash_167),,,,,,,custom
NBC_00005,Streptomyces,sp.,"CP108316,CP108317",SAMN24016140,chromosome,linear,flye-contigger NBC_00005,2,1,0,11027269,11081806,25x,10684,298264614,5910939,49,10147,9749,"6, 6, 6 (5S, 16S, 23S)",68,70.27,355,350,5,1,0,356,15775.0,,Streptomyces,Streptomyces sp.,sp_mash_043,Streptomyces sp. (sp_mash_043),,,,,,,custom
NBC_00008,Streptomyces,sp.,"CP108313,CP108314,CP108315",SAMN24016141,chromosome,linear,flye-contigger NBC_00008,3,1,1,8550141,8678696,13x,18228,128427335,4980440,94,7807,7510,"6, 6, 6 (5S, 16S, 23S)",70,70.79,355,352,3,1,0,356,,,Streptomyces,Streptomyces sp001905365,,Streptomyces sp001905365,,,,,,,custom
NBC_00015,Streptomyces,sp.,"CP108306,CP108307,CP108308",SAMN24016142,chromosome,linear,npgm-contigger NBC_00015,3,2,0,9988155,11241544,35x,19472,404212588,1553290,1162,9862,9435,"6, 6, 6 (5S, 16S, 23S)",78,70.98,354,351,3,2,0,356,221582.0,,Streptomyces,Streptomyces sp001298545,,Streptomyces sp001298545,,,,,,,custom
NBC_00018,Streptomyces,bobili,"JAPELN010000001,JAPELN010000002",SAMN24016143,near-complete,linear,flye-contigger NBC_00018,2,0,0,8695366,8772729,64x,3287,576843305,2668538,484,7997,7663,"6, 6, 6 (5S, 16S, 23S)",78,71.23,355,353,2,1,0,356,,,Streptomyces,Streptomyces bobili,,Streptomyces bobili,GCA_026343715.1,Contig,JAPELN000000000,undefined,NBC_00018,Streptomyces bobili,custom
NBC_00024,Streptomyces,sp.,CP108298,SAMN24016144,chromosome,linear,npgm-contigger NBC_00024,1,0,0,11459578,11459578,56x,14509,654436116,1308683,3605,10150,9629,"6, 6, 6 (5S, 16S, 23S)",75,70.74,355,351,4,1,0,356,134140.0,,Streptomyces,Streptomyces sp.,sp_mash_009,Streptomyces sp. (sp_mash_009),,,,,,,custom
NBC_00027,Streptomyces,melanogenes,"CP108295,CP108296,CP108297",SAMN24016145,chromosome,linear,flye-contigger NBC_00027,3,1,1,8316562,8457029,25x,28782,325107338,5464506,51,7526,7291,"7, 7, 7 (5S, 16S, 23S)",71,71.46,354,353,1,2,0,356,,50.0,Streptomyces,Streptomyces melanogenes,,Streptomyces melanogenes,,,,,,,custom
NBC_00029,Streptomyces,sp.,CP108292,SAMN24016146,chromosome,linear,npgm-contigger NBC_00029,1,0,0,8802311,8802311,114x,14779,1011371796,2758809,261,8093,7770,"7, 7, 7 (5S, 16S, 23S)",73,71.75,355,354,1,1,0,356,203948.0,,Streptomyces,Streptomyces sp.,sp_mash_059,Streptomyces sp. (sp_mash_059),,,,,,,custom
NBC_00035,Streptomyces,sp.,CP108291,SAMN24016148,chromosome,linear,npgm-contigger NBC_00035,1,0,0,10425166,10425166,53x,25361,556131495,4855828,245,9407,9123,"6, 6, 6 (5S, 16S, 23S)",71,69.87,355,351,4,1,0,356,147774.0,,Streptomyces,Streptomyces sp.,sp_mash_005,Streptomyces sp. (sp_mash_005),,,,,,,custom
NBC_00038,Streptomyces,sp.,"JAPELQ010000001,JAPELQ010000002,JAPELQ010000003",SAMN24016149,near-complete,linear,flye-contigger NBC_00038,3,0,0,9618682,10690590,153x,15346,1690280689,4023486,36,9618,9341,"6, 6, 6 (5S, 16S, 23S)",73,69.84,354,351,3,2,0,356,,,Streptomyces,Streptomyces sp.,sp_mash_005,Streptomyces sp. (sp_mash_005),GCA_026343635.1,Contig,JAPELQ000000000,undefined,NBC_00038,Streptomyces sp. NBC_00038,custom
